,Card_set,Card_number,Rarity,Card_name,Card_type,Attribute,ATK,DEF,Level,Link_no,Property,M_type1,M_type2,M_type3,M_type4,E_type1,E_type2,E_type3,E_type4,E_type5,E_type6,E_type7,E_type8,E_type9,E_type10,TCG_Banlist
96,Galactic Overlord,GAOV-EN032,Rare,Lightray Sorcerer,Monster,LIGHT,2300,2000,6.0,None,nan,Spellcaster , Effect,None,None,Summoning condition, Summoning condition, Ignition, Condition,,,,,,, Unlimited 
97,Chaos Impact,CHIM-EN090,Super Rare,Dream Mirror Hypnagogia,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
98,Ancient Sanctuary,AST-023,Super Rare,Zaborg the Thunder Monarch,Monster,LIGHT,2400,1000,5.0,None,nan,Thunder , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
99,Primal Origin,PRIO-EN094,Common,Shogi Knight,Monster,EARTH,800,400,3.0,None,nan,Beast-Warrior , Effect,None,None,Trigger, Trigger,,,,,,,,, Unlimited 
100,Cybernetic Revolution,CRV-EN055,Rare,Magical Explosion,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Limited 
101,Clash of Rebellions,CORE-EN065,Secret Rare,Mistaken Arrest,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
102,Starstrike Blast,STBL-EN021,Common,"Karakuri Strategist mdl 248 ""Nishipachi""",Monster,EARTH,500,1600,3.0,None,nan,Machine , Tuner,None,None,Continuous, Trigger, Trigger,,,,,,,, Unlimited 
103,Flaming Eternity,FET-EN033,Common,Rescue Cat,Monster,EARTH,300,100,4.0,None,nan,Beast , Effect,None,None,Ignition, Condition,,,,,,,,, Unlimited 
104,Light of Destruction,LODT-EN047,Common,Demise of the Land,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
105,Soul Fusion,SOFU-EN017,Common,"World Legacy - ""World Wand""",Monster,DARK,500,2500,8.0,None,nan,Machine , Effect,None,None,Continuous, Condition, Trigger, Ignition,,,,,,, Unlimited 
106,Battle of Chaos,BACH-EN018,Common,"Neiroy, the Dream Mirror Traitor",Monster,DARK,1000,1000,3.0,None,nan,Fiend , Effect,None,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
107,Clash of Rebellions,CORE-EN048,Ultra Rare,Archfiend Black Skull Dragon,Monster,DARK,3200,2500,9.0,None,nan,Dragon , Fusion , Effect,None,Condition, Continuous, Trigger,,,,,,,, Unlimited 
108,Labyrinth of Nightmare,LON-024,Short Print,Fairy Box,Trap,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like, Maintenance cost,,,,,,,,, Unlimited 
109,Light of Destruction,LODT-EN058,Common,Mystical Cards of Light,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Continuous-like,,,,,,,,, Unlimited 
110,Invasion of Chaos,IOC-074,Common,Hyper Hammerhead,Monster,EARTH,1500,1200,4.0,None,nan,Dinosaur , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
111,Starstrike Blast,STBL-EN094,Common,Ally of Justice Unknown Crusher,Monster,DARK,1200,800,3.0,None,nan,Machine , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
112,Crossroads of Chaos,CSOC-EN029,Ultra Rare,"Tytannial, Princess of Camellias",Monster,WIND,2800,2600,8.0,None,nan,Plant , Effect,None,None,Quick,,,,,,,,,, Unlimited 
113,Spell Ruler,MRL-019,Common,Dark Witch,Monster,LIGHT,1800,1700,5.0,None,nan,Fairy,None,None,None,nan,,,,,,,,,, Unlimited 
114,Judgment of the Light,JOTL-EN006,Common,Super Defense Robot Lio,Monster,EARTH,1200,1600,4.0,None,nan,Machine , Effect,None,None,Trigger, Trigger,,,,,,,,, Unlimited 
115,Invasion of Chaos,IOC-087,Ultra Rare,Guardian Angel Joan,Monster,LIGHT,2800,2000,7.0,None,nan,Fairy , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
116,Ancient Sanctuary,AST-097,Rare,Thousand Energy,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
117,Strike of Neos,STON-EN017,Ultra Rare,"Reign-Beaux, Overlord of Dark World",Monster,DARK,2500,1800,7.0,None,nan,Fiend , Effect,None,None,Trigger, Trigger,,,,,,,,, Unlimited 
118,Invasion: Vengeance,INOV-EN013,Common,Flower Cardian Maple with Deer,Monster,DARK,1000,1000,10.0,None,nan,Warrior , Effect,None,None,Summoning condition, Summoning condition, Trigger,,,,,,,, Unlimited 
119,Gladiator's Assault,GLAS-EN045,Common,Contact Out,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
120,Ancient Prophecy,ANPR-EN052,Super Rare,Core Compression,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
121,Breakers of Shadow,BOSH-EN059,Common,Destruction Swordsman Fusion,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect, Ignition-like, Condition,,,,,,,, Unlimited 
122,Primal Origin,PRIO-EN062,Ultra Rare,Sylvan Charity,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
123,Lightning Overdrive,LIOV-EN095,Common,D/D/D Supersight King Zero Maxwell,Monster,DARK,2800,2500,7.0,None,nan,Fiend , Pendulum , Effect,None,Pendulum Effect , Ignition-like, Condition, Monster Effect, Trigger, Continuous, Continuous,,,, Unlimited 
124,Duelist Alliance,DUEA-EN096,Common,Fishborg Doctor,Monster,WATER,400,400,4.0,None,nan,Fish , Effect,None,None,Ignition, Condition, Continuous,,,,,,,, Unlimited 
125,Labyrinth of Nightmare,LON-023,Short Print,Tornado Wall,Trap,nan,,None,,None,Continuous,nan,None,None,None,Activation requirement, Continuous-like, Continuous-like,,,,,,,, Unlimited 
126,Eternity Code,ETCO-EN053,Common,Gouki The Powerload Ogre,Monster,EARTH,2800,None,,4,nan,Warrior , Link , Effect,None,Continuous, Continuous, Ignition, Condition,,,,,,, Unlimited 
127,Secrets of Eternity,SECE-EN038,Rare,Dragon Dowser,Monster,EARTH,1500,1500,4.0,None,nan,Wyrm , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
128,Metal Raiders,MRD-038,Common,Deepsea Shark,Monster,WATER,1900,1600,5.0,None,nan,Fish , Fusion,None,None,nan,,,,,,,,,, Unlimited 
129,Lord of the Tachyon Galaxy,LTGY-EN054,Secret Rare,Brotherhood of the Fire Fist - Cardinal,Monster,FIRE,1800,2200,4.0,None,nan,Beast-Warrior , Xyz , Effect,None,Ignition, Condition,,,,,,,,, Unlimited 
130,Savage Strike,SAST-EN049,Ultra Rare,Trickstar Divaridis,Monster,LIGHT,1800,None,,2,nan,Fairy , Link , Effect,None,Unclassified, Trigger, Trigger,,,,,,,, Unlimited 
131,Breakers of Shadow,BOSH-EN077,Rare,Pendulum Reborn,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
132,Rising Rampage,RIRA-EN092,Common,Yosenju Oroshi Channeling,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
133,Pharaonic Guardian,PGD-072,Rare,Winged Sage Falcos,Monster,WIND,1700,1200,4.0,None,nan,Winged Beast , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
134,Abyss Rising,ABYR-EN018,Rare,Mermail Abysspike,Monster,WATER,1600,800,4.0,None,nan,Fish , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
135,Raging Battle,RGBT-EN099,Rare,Emperor Sem,Monster,LIGHT,1300,2200,4.0,None,nan,Fiend , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
136,Tactical Evolution,TAEV-EN056,Rare,Double Summon,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
137,Labyrinth of Nightmare,LON-084,Common,Deal of Phantom,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
138,Maximum Gold,MAGO-EN020,Premium Gold Rare,Nurse Dragonmaid,Monster,EARTH,500,1600,2.0,None,nan,Dragon , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
139,Absolute Powerforce,ABPF-EN062,Super Rare,Synchro Control,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Activation requirement, Cost, Effect,,,,,,,, Unlimited 
140,Elemental Energy,EEN-EN025,Common,"Scarr, Scout of Dark World",Monster,DARK,500,500,2.0,None,nan,Fiend , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
141,Ignition Assault,IGAS-EN076,Secret Rare,Sales Pitch,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect, Condition,,,,,,,, Unlimited 
142,Stardust Overdrive,SOVR-EN092,Secret Rare,Dark Simorgh,Monster,DARK,2700,1000,7.0,None,nan,Winged Beast , Effect,None,None,Continuous, Ignition, Ignition, Continuous,,,,,,, Unlimited 
143,Raging Battle,RGBT-EN022,Super Rare,Koa'ki Meiru Powerhand,Monster,EARTH,2100,1600,4.0,None,nan,Machine , Effect,None,None,Maintenance cost, Continuous,,,,,,,,, Unlimited 
144,The Dark Illusion,TDIL-EN064,Rare,Triamid Kingolem,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Continuous-like, Trigger-like, Condition,,,,,,, Unlimited 
